# Claims File
# Format: FID, ClaimDate, InsuredPerson, CardNumber, ExamDate, DocumentList, ClaimAmount, Status, ReceiverBankingInfo

f-0987654321,2024-04-06,c-2929292,2910392091,2005-03-13,null,USD 34.22,NEW,null
f-0987654322,2024-04-06,c-2929292,2910392091,2001-09-22,null,USD 46,NEW,null
f-1230984567,2024-04-06,c-2834982,2222222222,2023-09-08,null,USD 45.2,NEW,null
f-1234512345,2024-04-06,c-2834982,2222222222,2024-02-20,null,USD 45.00,NEW,null
f-1234565432,2024-04-06,c-2834982,2222222222,2011-06-06,f-1234565432_2222222222_hospiotalplane.pdf,USD 99.11,NEW,mbbank - lola - 10990999099
f-2323232323,2024-04-06,c-1231231,3333333333,2012-03-22,f-2323232323_3333333333_university.pdf,USD 32.99,NEW,kgra - aiai - 1232323
f-8989890000,2024-04-06,c-1231231,3333333333,2021-09-23,null,USD 23.99,NEW,BVB - Hannie - 10179829999
f-3333333333,2024-04-06,c-2929292,2910392091,2023-01-12,f-3333333333_2910392091_hospitalfee.pdf,USD 34.11,NEW,VCB - Trina - 1234567890
f-4444444444,2024-04-06,c-1231231,3333333333,2013-03-03,null,USD 55.55,NEW,b - n - n
f-1111111111,2024-04-06,c-1231231,3333333333,2012-02-02,null,USD 23.23,NEW,b - n - n
